russian,ingush,definition,source
автобусный,автобусни,,ingush_dictionary_full.txt
автогенный,автогенни,,ingush_dictionary_full.txt
автодорожный,автодорожни,,ingush_dictionary_full.txt
автозаправочный,автозаправочни,,ingush_dictionary_full.txt
автоматический,автоматически,,ingush_dictionary_full.txt
автомобиль,avtomobil,,ingush_dictionary_full.txt
автомобильный,автомобильни,,ingush_dictionary_full.txt
авторемонтный,авторемонтни,,ingush_dictionary_full.txt
автосборочный,автосборочни,,ingush_dictionary_full.txt
люлька,а́га,,ingush_dictionary_full.txt
колыбель,а́га,,ingush_dictionary_full.txt
бер лиеладу киечал.,а́га,,ingush_dictionary_full.txt
1) впалая терраса (разновидность террасы в горной Ингушетии); 2) колыбель,а́га,,ingush_dictionary_full.txt
аьшка оатхалца (чувчакхаца) кхиера шаьрбар,а́га,,ingush_dictionary_full.txt
трястись,а́га,,ingush_dictionary_full.txt
отбить,а́га,,ingush_dictionary_full.txt
колыбельный,ага́,,ingush_dictionary_full.txt
насечь,а́га,,ingush_dictionary_full.txt
тряхнуться,а́га,,ingush_dictionary_full.txt
зашататься,а́га,,ingush_dictionary_full.txt
агама,ага́ма-шолкъ||а,,ingush_dictionary_full.txt
трясение,а́гар,,ingush_dictionary_full.txt
трепет,а́гар,,ingush_dictionary_full.txt
агуакатеки (Северная Америка),агвактеке,,ingush_dictionary_full.txt
агглютинативный язык,агглютинацен мотт,,ingush_dictionary_full.txt
агглютинативный признак,агглютинацен хьисап,,ingush_dictionary_full.txt
агглютинативно-флективный язык,агглютинацен-флексен мотт,,ingush_dictionary_full.txt
агау (Африка),аго,,ingush_dictionary_full.txt
имя (женское),Ægozi,,ingush_dictionary_full.txt
огород,ægorod,,ingush_dictionary_full.txt
аграрный,аграрни,,ingush_dictionary_full.txt
агрессивный,агрессивни,,ingush_dictionary_full.txt
агробиологический,агробиологически,,ingush_dictionary_full.txt
агроном,ægronom,,ingush_dictionary_full.txt
агрономический,агрономически,,ingush_dictionary_full.txt
агротехнический,агротехнически,,ingush_dictionary_full.txt
агрохимический,агрохимически,,ingush_dictionary_full.txt
узор,агӀалд||и,,ingush_dictionary_full.txt
полоска,агӀалди,,ingush_dictionary_full.txt
волнообразные полоски,агӀалди,,ingush_dictionary_full.txt
январь,АгӀой бутт,,ingush_dictionary_full.txt
бегать,ада,,ingush_dictionary_full.txt
забегать,ада до́ладала,,ingush_dictionary_full.txt
поскакать,ада,,ingush_dictionary_full.txt
публика,адам,,ingush_dictionary_full.txt
имя пророка,Adæm,,ingush_dictionary_full.txt
человек,ædæm,,ingush_dictionary_full.txt
человекообразная обезьяна,адама а́мате маймал,,ingush_dictionary_full.txt
человекоподобный,адама а́мате,,ingush_dictionary_full.txt
букв.: «люди стали приобретать черты народа»,адамаш халкъан аматага дийрзад,,ingush_dictionary_full.txt
по-человечески,адамашха,,ingush_dictionary_full.txt
безграничные потребности человечества,адамий боарамза дола хьашташ,,ingush_dictionary_full.txt
обеспечить человечество будущим,адамий кхоане Ӏалашъе,,ingush_dictionary_full.txt
социальный образ жизни людей,адамий юкъарча вахара кеп,,ingush_dictionary_full.txt
человеческий,адамий,,ingush_dictionary_full.txt
человечество,адамле,,ingush_dictionary_full.txt
искусственный,адамо хьадаь,,ingush_dictionary_full.txt
адангме (Африка),адангме,,ingush_dictionary_full.txt
бег,адар,,ingush_dictionary_full.txt
защитник; адвокат,ædvokat,,ingush_dictionary_full.txt
Аджария,Аджарехье,,ingush_dictionary_full.txt
аджарец,а́джаро,,ingush_dictionary_full.txt
аджарец (Кавказ),аджаро,,ingush_dictionary_full.txt
аджарка,а́джаро,,ingush_dictionary_full.txt
аджарский,а́джарой,,ingush_dictionary_full.txt
понуд. ф. от яда (побежать),адийта,,ingush_dictionary_full.txt
понуд. ф. от ада (бегать),адийта,,ingush_dictionary_full.txt
адрес,adres,,ingush_dictionary_full.txt
адъективное склонение,адъективан легар,,ingush_dictionary_full.txt
Адыгея,Adygejcæš,,ingush_dictionary_full.txt
я (мной,аз,,ingush_dictionary_full.txt
я,az,,ingush_dictionary_full.txt
Аза (женское имя),Aza,,ingush_dictionary_full.txt
вечность без начала,азале,,ingush_dictionary_full.txt
призыв на молитву,азан,,ingush_dictionary_full.txt
камень,азар,,ingush_dictionary_full.txt
межевой камень при покосе,азар,,ingush_dictionary_full.txt
камень определяющий границу покоса,а́зар,,ingush_dictionary_full.txt
азиатский листоед (жук),а́зера гӀадуарг,,ingush_dictionary_full.txt
азиатская летунья,а́зера гӀеттарг,,ingush_dictionary_full.txt
азиатская мышь,а́зера дахка,,ingush_dictionary_full.txt
азиатская нектарница,а́зера дургалме́ларг,,ingush_dictionary_full.txt
азиатская гигантская белка или ратуфа,а́зера йоаккха бӀарашдуарг,,ingush_dictionary_full.txt
азиатская бурозубка,а́зера коӀа,,ingush_dictionary_full.txt
азиатская уховёртка,а́зера лергаухарг,,ingush_dictionary_full.txt
азиатская леопардовая кошка,а́зера ферха́ циск,,ingush_dictionary_full.txt
азиатский шакал,а́зера чхьагӀалкх,,ingush_dictionary_full.txt
азиатская кобылка,а́зера шайтӀаговр,,ingush_dictionary_full.txt
Азербайджан,Azerbejdžan,,ingush_dictionary_full.txt
Азия,А́зи,,ingush_dictionary_full.txt
азиатский,азиатски,,ingush_dictionary_full.txt
Азовское море,Азов-форд,,ingush_dictionary_full.txt
Приазовье,Азовйисте,,ingush_dictionary_full.txt
азиат,а́зхо,,ingush_dictionary_full.txt
азиат (Азия),азхо,,ingush_dictionary_full.txt
азиатка,а́зхо,,ingush_dictionary_full.txt
или (разве,ай,,ingush_dictionary_full.txt
ой (при удивлении),ай,,ingush_dictionary_full.txt
понуд. ф. от айде (поднять),айдайта,,ingush_dictionary_full.txt
подняться,айдала,,ingush_dictionary_full.txt
повышение,а́йдалар,,ingush_dictionary_full.txt
подъем (по глаг. «подняться»),айдалар,,ingush_dictionary_full.txt
подъем (по глаг. «поднять»),айдар,,ingush_dictionary_full.txt
восклицательный,а́йдара,,ingush_dictionary_full.txt
междометный фразеологизм,айдардешай фразеологизм,,ingush_dictionary_full.txt
междометие,а́йдард||ош,,ingush_dictionary_full.txt
возвышенный,а́йдаь,,ingush_dictionary_full.txt
вознести,айде,,ingush_dictionary_full.txt
поднимать,а́йде,,ingush_dictionary_full.txt
повышенный,а́йденна,,ingush_dictionary_full.txt
разинуть,а́йе,,ingush_dictionary_full.txt
галдёж,а́йе́нна гӀар,,ingush_dictionary_full.txt
возвышенность,айенна моттиг,,ingush_dictionary_full.txt
насыпь,а́йе́нна моттиг,,ingush_dictionary_full.txt
плато,а́йе́нна моттиг,,ingush_dictionary_full.txt
мотня,а́йла,,ingush_dictionary_full.txt
Вселенная,А́йлам,,ingush_dictionary_full.txt
Космос,А́йлам,,ingush_dictionary_full.txt
вселенная,а́йлам,,ingush_dictionary_full.txt
расширение Вселенной (наблюдаемое явление увеличения расстояний между галактиками со скоростью,Айлам шеръялар,,ingush_dictionary_full.txt
галактика,айлам,,ingush_dictionary_full.txt
сигаленаш чулоацаш йола еррига аре (вселенная),айлам,,ingush_dictionary_full.txt
масса Вселенной (гипотетическая масса ненаблюдаемого вещества во Вселенной),Айлама дозал,,ingush_dictionary_full.txt
космическая пыль,Айлама дом,,ingush_dictionary_full.txt
космический луч,айлама зӀы,,ingush_dictionary_full.txt
космическое пространство,айлама мотт,,ingush_dictionary_full.txt
космическая скорость,айлама сухал,,ingush_dictionary_full.txt
космическое тело,айлама хӀама,,ingush_dictionary_full.txt
масса небесных тел,айлама хӀамай дозал,,ingush_dictionary_full.txt
возраст небесных тел (возраст Земли,айлама хӀамай яьнна ха,,ingush_dictionary_full.txt
астрономическая широта (угол между астрономическим зенитом и плоскостью экватора),Айлама шорал,,ingush_dictionary_full.txt
возраст Вселенной (время,Айлама яьнна ха,,ingush_dictionary_full.txt
космический,айлама,,ingush_dictionary_full.txt
космический горизонт или горизонт видимости во Вселенной (сфера с радиусом,айламайист,,ingush_dictionary_full.txt
пришельцы из космоса (всё,айламара денар,,ingush_dictionary_full.txt
метеороид (твёрдый объект,айламгал,,ingush_dictionary_full.txt
метеороид,а́йламгал,,ingush_dictionary_full.txt
метеорит (твёрдое тело космического происхождения,айламгалинг,,ingush_dictionary_full.txt
метеорит,айламгалинг,,ingush_dictionary_full.txt
метеоритный дождь (множественное падение метеоритов вследствие разрушения крупного метеорита в процессе падения на Землю),айламгалингий догӀа,,ingush_dictionary_full.txt
метеоритный,айламгалингий,,ingush_dictionary_full.txt
космический корабль,айламкема,,ingush_dictionary_full.txt
космонавт,айламхо,,ingush_dictionary_full.txt
астронавт,а́йламхо,,ingush_dictionary_full.txt
метеор (явление,айламхьаьша,,ingush_dictionary_full.txt
метеор,айламхьаьш||а,,ingush_dictionary_full.txt
метеорное тело,айламхьаьша хӀама,,ingush_dictionary_full.txt
метеорный,айламхьаьша,,ingush_dictionary_full.txt
космология (раздел астрофизики,айламӀилма,,ingush_dictionary_full.txt
космология,а́йламӀилма,,ingush_dictionary_full.txt
восходящий дифтонг,айлу дифтонг,,ingush_dictionary_full.txt
возвышающийся,а́йлу,,ingush_dictionary_full.txt
поднимающийся,а́йлу,,ingush_dictionary_full.txt
повышающийся,а́йлу,,ingush_dictionary_full.txt
аймара (Южная Америка),аймаре,,ingush_dictionary_full.txt
Мехке Кхиеле къамаьл деш хинна лакха моттиг.,айме,,ingush_dictionary_full.txt
айова (Северная Америка),айова,,ingush_dictionary_full.txt
увечье,айп,,ingush_dictionary_full.txt
дефект,айп,,ingush_dictionary_full.txt
недостаток,айп,,ingush_dictionary_full.txt
уродство,айп,,ingush_dictionary_full.txt
порча,айп,,ingush_dictionary_full.txt
недостаток (дефект),айп,,ingush_dictionary_full.txt
1) дефект; 2) недостаток; 3) уродство,айп,,ingush_dictionary_full.txt
искалеченный,а́йпарг,,ingush_dictionary_full.txt
скотина,айпарг,,ingush_dictionary_full.txt
искалеченная,а́йпарг,,ingush_dictionary_full.txt
искалечить,а́йпда́ккха,,ingush_dictionary_full.txt
искалечиться,айпдала,,ingush_dictionary_full.txt
калечащий,а́йпдоаккха,,ingush_dictionary_full.txt
уродующий,а́йпдоаккха,,ingush_dictionary_full.txt
дефектность,а́йпдувлар,,ingush_dictionary_full.txt
пчеломатка с пороком (функциональные нарушения),айпе аьла,,ingush_dictionary_full.txt
инвалид,а́йпе|| саг,,ingush_dictionary_full.txt
непригодное зерно,айпе ялат,,ingush_dictionary_full.txt
слабый (болезненный),айпе,,ingush_dictionary_full.txt
дефектный,айпе,,ingush_dictionary_full.txt
наждачная бумага,айра,,ingush_dictionary_full.txt
подошва,айра,,ingush_dictionary_full.txt
наждак,а́йра,,ingush_dictionary_full.txt
стелька,а́йра,,ingush_dictionary_full.txt
наждачный,а́йран,,ingush_dictionary_full.txt
подошвенный,а́йрий,,ingush_dictionary_full.txt
сам (я,айса,,ingush_dictionary_full.txt
лично (я сам),айса,,ingush_dictionary_full.txt
лично,а́йса,,ingush_dictionary_full.txt
сам,айса,,ingush_dictionary_full.txt
по-айсорски,айсорашха,,ingush_dictionary_full.txt
айсор,айсоре,,ingush_dictionary_full.txt
айсорка,айсор||е,,ingush_dictionary_full.txt
айсорский,айсорий,,ingush_dictionary_full.txt
плотный,айха,,ingush_dictionary_full.txt
плотно,айхха,,ingush_dictionary_full.txt
вплотную,айхха,,ingush_dictionary_full.txt
плотность,айххал,,ingush_dictionary_full.txt
эхь ца хиеташ,айхьаза,,ingush_dictionary_full.txt
развязный,айхьаза,,ingush_dictionary_full.txt
запросто,айхьаза,,ingush_dictionary_full.txt
фамильярничать,а́йхьаза хила,,ingush_dictionary_full.txt
незастенчивый,а́йхьаза,,ingush_dictionary_full.txt
фамильярный,а́йхьаза,,ingush_dictionary_full.txt
непринуждённо,а́йхьаза,,ingush_dictionary_full.txt
нескромно,а́йхьаза,,ingush_dictionary_full.txt
развязно,а́йхьаза,,ingush_dictionary_full.txt
непринуждённый,а́йхьаза,,ingush_dictionary_full.txt
нескромный,а́йхьаза,,ingush_dictionary_full.txt
распустить (о нраве),айхьазадаккха,,ingush_dictionary_full.txt
понуд. ф. от айхьазадаккха (распустить),айхьазадаккхийта,,ingush_dictionary_full.txt
распуститься (о нраве),айхьазада́ла,,ingush_dictionary_full.txt
распускать (о нраве),айхьазадаха,,ingush_dictionary_full.txt
понуд. ф. от айхьазадаха (распускать),айхьазадахийта,,ingush_dictionary_full.txt
распускаться (о нраве),айхьазадувла,,ingush_dictionary_full.txt
понуд. ф. от айхьазадувла (распускаться),айхьазадувлийта,,ingush_dictionary_full.txt
наглость,айхьазал,,ingush_dictionary_full.txt
беззастенчивость,а́йхьазал,,ingush_dictionary_full.txt
нескромность,а́йхьазал,,ingush_dictionary_full.txt
фамильярность,а́йхьазал,,ingush_dictionary_full.txt
развязность,а́йхьазал,,ingush_dictionary_full.txt
распустить,а́йхьазда́ккха,,ingush_dictionary_full.txt
распуститься,а́йхьазда́ла,,ingush_dictionary_full.txt
нагловато,а́йхьазо,,ingush_dictionary_full.txt
скромник,а́йхье саг,,ingush_dictionary_full.txt
скромница,а́йхье саг,,ingush_dictionary_full.txt
конфузливый,а́йхье,,ingush_dictionary_full.txt
стеснительный,айхье,,ingush_dictionary_full.txt
эхь хеташ,айхье,,ingush_dictionary_full.txt
скромный,а́йхье,,ingush_dictionary_full.txt
стеснительность,айхьел,,ingush_dictionary_full.txt
скромность,а́йхьел,,ingush_dictionary_full.txt
поднимающий,а́йю,,ingush_dictionary_full.txt
как (воскл. негодование),айя,,ingush_dictionary_full.txt
стих священного Корана,айят,,ingush_dictionary_full.txt
Ах,"Æjjaꜧ, mæ doq ꜧæmæ dæ yz",,ingush_dictionary_full.txt
дергдац,ак,,ingush_dictionary_full.txt
отказать,ак а́ла,,ingush_dictionary_full.txt
академик,ækademik,,ingush_dictionary_full.txt
акан (Африка),акане,,ingush_dictionary_full.txt
акация,ækaci,,ingush_dictionary_full.txt
аквапим (Африка),аквапме,,ingush_dictionary_full.txt
соответствует февралю,Аккхий мархий бутт,,ingush_dictionary_full.txt
дикий,акха,,ingush_dictionary_full.txt
дико,акха,,ingush_dictionary_full.txt
кряква,акха боабашк,,ingush_dictionary_full.txt
собака,а́кха жӀал||и,,ingush_dictionary_full.txt
фазан,акха котам,,ingush_dictionary_full.txt
фазаний,акха котама,,ingush_dictionary_full.txt
семья (рой) диких пчёл,а́кха никх,,ingush_dictionary_full.txt
семья диких пчёл,акха никх,,ingush_dictionary_full.txt
дикая пчела,а́кха нокхармоза,,ingush_dictionary_full.txt
дикарь,а́кха саг,,ingush_dictionary_full.txt
дикарка,а́кха саг,,ingush_dictionary_full.txt
муфлон,а́кха устагӀа,,ingush_dictionary_full.txt
дикий (о животном),акха,,ingush_dictionary_full.txt
дикая утка,а́кхабоабашк,,ingush_dictionary_full.txt
бантенг,а́кхабугӀа-бантенг,,ingush_dictionary_full.txt
гаур,а́кхабугӀа-гаур,,ingush_dictionary_full.txt
кулан,а́кхав||ир,,ingush_dictionary_full.txt
онагр,а́кхав||ир,,ingush_dictionary_full.txt
тарпан,а́кхаговр,,ingush_dictionary_full.txt
серый гусь,а́кхагӀа́ж,,ingush_dictionary_full.txt
сделать диким,акхадаккха,,ingush_dictionary_full.txt
понуд. ф. от акхадаккха (сделать диким),акхадаккхийта,,ingush_dictionary_full.txt
одичать,акхада́ла,,ingush_dictionary_full.txt
одичание,а́кхада́лар,,ingush_dictionary_full.txt
одичалый,а́кхадаьнна,,ingush_dictionary_full.txt
сделаться диким,акхадувла,,ingush_dictionary_full.txt
дичать,а́кхадувла,,ingush_dictionary_full.txt
понуд. ф. от акхадувла (сделаться диким),акхадувлийта,,ingush_dictionary_full.txt
енотовидная собака,а́кхажӀали,,ingush_dictionary_full.txt
1) фазан; 2) тетерев,а́кхакотам,,ingush_dictionary_full.txt
дикий кролик,а́кхакуни,,ingush_dictionary_full.txt
дикость,а́кхал,,ingush_dictionary_full.txt
они,æqar,,ingush_dictionary_full.txt
выместить злобу,aqær-dærx,,ingush_dictionary_full.txt
лакхе,а́кхаре,,ingush_dictionary_full.txt
дикая свинья,а́кхахьакха,,ingush_dictionary_full.txt
лесная кошка,а́кхациск,,ingush_dictionary_full.txt
манул,а́кхациск-манул,,ingush_dictionary_full.txt
глухариный,акхача котама,,ingush_dictionary_full.txt
дикий фрукт,а́кхсом,,ingush_dictionary_full.txt
серый тополь,акхтарг,,ingush_dictionary_full.txt
серебристый тополь,а́кхтарг,,ingush_dictionary_full.txt
га,а́кхтарьг,,ingush_dictionary_full.txt
акушинец,а́кхшо,,ingush_dictionary_full.txt
акушинец (Кавказ),акхшо,,ingush_dictionary_full.txt
акушинка,а́кхшо,,ingush_dictionary_full.txt
акушинский,а́кхшой,,ingush_dictionary_full.txt
по-акушински,акхшошха,,ingush_dictionary_full.txt
хваршин,акъилкъо,,ingush_dictionary_full.txt
хваршин (Кавказ),акъилкъо,,ingush_dictionary_full.txt
хваршинка,акъилкъо,,ingush_dictionary_full.txt
хваршинский,акъилкъой,,ingush_dictionary_full.txt
по-хваршински,акъилкъошха,,ingush_dictionary_full.txt
пламя,а́ла,,ingush_dictionary_full.txt
сказать,а́ла,,ingush_dictionary_full.txt
запылать,а́ла ба́ла,,ingush_dictionary_full.txt
проговориться,а́ла цадоагӀар а́ла,,ingush_dictionary_full.txt
пламенный (о цвете),ала цӀел,,ingush_dictionary_full.txt
выговорить,а́ла,,ingush_dictionary_full.txt
выразиться,а́ла,,ingush_dictionary_full.txt
изречь,а́ла,,ingush_dictionary_full.txt
проговорить,а́ла,,ingush_dictionary_full.txt
произнести,а́ла,,ingush_dictionary_full.txt
лежать,ала,,ingush_dictionary_full.txt
пролежать,ала,,ingush_dictionary_full.txt
тянуться,ала,,ingush_dictionary_full.txt
скажи ты,alæ-hæ,,ingush_dictionary_full.txt
предложить,а́ла,,ingush_dictionary_full.txt
выразить,а́ла,,ingush_dictionary_full.txt
алакалуф (Южная Америка),алакалфо,,ingush_dictionary_full.txt
сказуемое,алам,,ingush_dictionary_full.txt
длинный тонкий столбик,ælæm-beqhæ,,ingush_dictionary_full.txt
знак властных полномочий выборного лица,алама кхадж,,ingush_dictionary_full.txt
надмогильный шест,аламбекъа,,ingush_dictionary_full.txt
деревянный шест с белым флажком,аламбе́къа,,ingush_dictionary_full.txt
шест с белым флажком,аламбекъа,,ingush_dictionary_full.txt
алан,а́лано,,ingush_dictionary_full.txt
алан (исторические народы),алано,,ingush_dictionary_full.txt
аланка,а́лано,,ingush_dictionary_full.txt
Алания,А́ланой мохк,,ingush_dictionary_full.txt
аланский,а́ланой,,ingush_dictionary_full.txt
по-алански,а́ланошха,,ingush_dictionary_full.txt
буква,алап,,ingush_dictionary_full.txt
название буквы,ælæp,,ingush_dictionary_full.txt
буквенный,алапа,,ingush_dictionary_full.txt
алфавит,алапат,,ingush_dictionary_full.txt
алфавитный,алапата,,ingush_dictionary_full.txt
зарплата,алапи,,ingush_dictionary_full.txt
жалованье,а́лап||и,,ingush_dictionary_full.txt
оклад,а́лап||и,,ingush_dictionary_full.txt
оклад (жалованье),alæpi,,ingush_dictionary_full.txt
навет,а́лар,,ingush_dictionary_full.txt
произнесение,а́лар,,ingush_dictionary_full.txt
произношение,а́лар,,ingush_dictionary_full.txt
реплика,а́лар,,ingush_dictionary_full.txt
высказывание,а́лар,,ingush_dictionary_full.txt
предложение,а́лар,,ingush_dictionary_full.txt
алас (Азия),аласе,,ingush_dictionary_full.txt
мерин,а́лач,,ingush_dictionary_full.txt
лошадь упряжная,alæčæ,,ingush_dictionary_full.txt
Албания,Албани,,ingush_dictionary_full.txt
албанец (Европа),албано,,ingush_dictionary_full.txt
албанец,а́лбанхо,,ingush_dictionary_full.txt
житель Кавказской Албании (исторические народы),албанхо,,ingush_dictionary_full.txt
албанка,а́лбанхо,,ingush_dictionary_full.txt
албанский,а́лбанхой,,ingush_dictionary_full.txt
по-албански,а́лбанхошха,,ingush_dictionary_full.txt
дубонос,алгарц,,ingush_dictionary_full.txt
алгебраический,алгебраически,,ingush_dictionary_full.txt
алгонкин (Северная Америка),алгонкино,,ingush_dictionary_full.txt
Алжир,Алжир,,ingush_dictionary_full.txt
алжирец,алжирхо,,ingush_dictionary_full.txt
алжирка,алжирхо,,ingush_dictionary_full.txt
алжирский,алжирхой,,ingush_dictionary_full.txt
мак,а́линг,,ingush_dictionary_full.txt
мак-самосейка,алинг,,ingush_dictionary_full.txt
маковый,а́линга,,ingush_dictionary_full.txt
баьца зиза,а́линьг,,ingush_dictionary_full.txt
цесарка,алитаркх,,ingush_dictionary_full.txt
скворец,алкхашк,,ingush_dictionary_full.txt
полежать,алла,,ingush_dictionary_full.txt
упрашивание,ællæ æ byllæ æ,,ingush_dictionary_full.txt
лежать (находиться),алла,,ingush_dictionary_full.txt
Аллах,АллахӀ,,ingush_dictionary_full.txt
понуд. ф. от алла (лежать),аллийта,,ingush_dictionary_full.txt
алмаз (камень),almaz,,ingush_dictionary_full.txt
алмазик,алмазкӀиг,,ingush_dictionary_full.txt
Амазонка,Алмазхи,,ingush_dictionary_full.txt
Амазония,А́лмазхийисте,,ingush_dictionary_full.txt
Алматы,Алмата,,ingush_dictionary_full.txt
алорец (Азия),алоро,,ingush_dictionary_full.txt
повысить,алсамдаккха,,ingush_dictionary_full.txt
нарастать,алсамда́ла,,ingush_dictionary_full.txt
подъём,алсамда́лар,,ingush_dictionary_full.txt
прирост,алсамдалар,,ingush_dictionary_full.txt
нарастание,алсамда́лар,,ingush_dictionary_full.txt
удовлетворять возрастающие мировые потребности,алсамдувлача дунен хьашташ Ӏалашде,,ingush_dictionary_full.txt
атлас,а́лтаз,,ingush_dictionary_full.txt
сатин,алтаз,,ingush_dictionary_full.txt
атласный,а́лтаза́,,ingush_dictionary_full.txt
сатиновый,алтаза,,ingush_dictionary_full.txt
Алтай,Алтай,,ingush_dictionary_full.txt
алтайский крот,алтайера балкъазар,,ingush_dictionary_full.txt
алтайская травянка-огнёвка,алтайера баьцарг-шайтӀаговр,,ingush_dictionary_full.txt
алтайский улар,алтайера довха,,ingush_dictionary_full.txt
алтайский пыльцеед,алтайера доммалхаргъюарг,,ingush_dictionary_full.txt
фиалка алтайская,алтайера зийболг,,ingush_dictionary_full.txt
алтайская короткокрылка,алтайера ткъам-лоаца баскилг,,ingush_dictionary_full.txt
колокольчик алтайский,алтайера тухтилг,,ingush_dictionary_full.txt
лук алтайский,алтайера хох,,ingush_dictionary_full.txt
алтайская пищуха,алтайера цӀувза куни,,ingush_dictionary_full.txt
алтаец,алтайхо,,ingush_dictionary_full.txt
алтаец (Азия),алтайхо,,ingush_dictionary_full.txt
алтайка,алтайхо,,ingush_dictionary_full.txt
алтайский,алтайхой,,ingush_dictionary_full.txt
по-алтайски,алтайхошха,,ingush_dictionary_full.txt
кор,а́лтам,,ingush_dictionary_full.txt
петля,алтам,,ingush_dictionary_full.txt
петля дверная,а́лтам,,ingush_dictionary_full.txt
навес (оконный),altæm,,ingush_dictionary_full.txt
алуне (Азия),алуне,,ingush_dictionary_full.txt
алур (Африка),алуре,,ingush_dictionary_full.txt
чесать (шерсть),алха,,ingush_dictionary_full.txt
тха оалх,а́лха,,ingush_dictionary_full.txt
чесать,алха,,ingush_dictionary_full.txt
только,ælxæ,,ingush_dictionary_full.txt
распушить,алха,,ingush_dictionary_full.txt
нечёсанный,а́лханза,,ingush_dictionary_full.txt
чесание,алхар,,ingush_dictionary_full.txt
расчёсывание (о шерсти),а́лхар,,ingush_dictionary_full.txt
расчёсывать шерсть,alxær,,ingush_dictionary_full.txt
Алхасты,А́лхасте,,ingush_dictionary_full.txt
Алхасты (ингушское селение),Alxæste,,ingush_dictionary_full.txt
понуд. ф. от алха (чесать),алхийта,,ingush_dictionary_full.txt
лишь,алхха,,ingush_dictionary_full.txt
лишь только,алхха,,ingush_dictionary_full.txt
исключительно,алхха,,ingush_dictionary_full.txt
лошадь,а́лча,,ingush_dictionary_full.txt
Альпы,А́льпаш,,ingush_dictionary_full.txt
альпийский сурок,а́льпашкара сураэп,,ingush_dictionary_full.txt
альфа (первая по величине звезда в каком-либо созвездии),альфа-седкъа,,ingush_dictionary_full.txt
изумить,а́магӀда́ккха,,ingush_dictionary_full.txt
изумиться,а́магӀда́ла,,ingush_dictionary_full.txt
изумление,а́магӀда́лар,,ingush_dictionary_full.txt
изумлённо,а́магӀдаьнна,,ingush_dictionary_full.txt
изумительный,а́магӀдоаккхаш дола,,ingush_dictionary_full.txt
изумляющийся,а́магӀдоала,,ingush_dictionary_full.txt
изумляющий,а́магӀдоаха,,ingush_dictionary_full.txt
амазонский дельфин,амазонка тӀара фордахьакха,,ingush_dictionary_full.txt
служба,амал,,ingush_dictionary_full.txt
поручение,амалт,,ingush_dictionary_full.txt
тешаме хилар,ама́нат,,ingush_dictionary_full.txt
повеление,а́мар,,ingush_dictionary_full.txt
команда,амар,,ingush_dictionary_full.txt
приказ,амар,,ingush_dictionary_full.txt
распоряжение,амар,,ingush_dictionary_full.txt
